Title,Author,Publisher,Published Date,ISBN,Image URL
Das Liederbuch.,Das Liederbuch,"Fischer (Tb.), Frankfurt","May 1, 2000",3596850428,https://covers.openlibrary.org/b/id/3240480-L.jpg
Tupfst du noch die Tranen ab?,Jorg Muhle,Moritz Verlag-GmbH,"Feb 01, 2017",3895653403,https://covers.openlibrary.org/b/id/8881056-L.jpg
